GEODB_OID,GEODB_SUBT,OBJECTID,TYPE,NAME,GLOBALID,SHAPE_AREA,SHAPE_LEN,XCOORD,YCOORD
126,LAKE,126,4,Burwell Lake,{4D865C2C-3502-410F-8E19-3042CD585205},459532.500000000000000,2886.936547629110009,-123.000447,49.454645
127,LAKE,127,4,Palisade Lake,{A8DA93CA-ABFA-4343-8A9B-9069A886129F},562454.000000000000000,3050.303937728760047,-123.027534,49.451141
241,LAKE,241,4,Seymour Lake,{B4195317-9817-4D03-98A4-45959A889364},2625514.620259500108659,16120.922425786000531,-122.957880,49.463680
258,LAKE,258,4,,{45B50A33-7321-454F-A900-E09A3768A1C2},2001015.500000000000000,8245.422887957020066,-122.669856,49.447617
293,LAKE,293,4,,{A4A391A4-1E7E-484B-872B-2891DB6C3C0B},2728813.000000000000000,16701.607395629798702,-122.380645,49.205883
300,LAKE,300,4,,{9AF9EF82-6987-46F3-86C2-9309F833591B},515089.500000000000000,2816.814601044679875,-122.448584,49.212676
322,LAKE,322,4,,{D4186A9A-ED90-40DA-BF2E-1A129505DA71},1186302.000000000000000,6411.002442603040436,-122.408351,49.176387
498,LAKE,498,4,,{73D84B86-72D1-4569-9E52-C90081251A90},428163.804999999993015,3239.128748164690023,-122.360478,49.270235
628,LAKE,628,4,,{EE00BF20-0D73-442D-96EE-42BD5F6854C4},497844.000000000000000,3354.385606910590013,-122.801275,49.531391
655,LAKE,655,4,,{73EC0D6B-8432-4DF6-BD71-8086DD6505F5},47092779.500000000000000,57404.407145878998563,-122.555364,49.422432
675,LAKE,675,4,,{9951AD0F-ED34-4061-9C94-4F0B961AD123},782252.000000000000000,3957.537088970119839,-122.220628,49.363934
837,LAKE,837,4,,{E9E49CCA-BFA5-49ED-80A6-61828F79730B},500361.500000000000000,4022.277539640820123,-122.766382,49.553420
864,LAKE,864,4,,{AC3D8679-85AB-4633-B459-596D9D9FA71A},40400648.606250002980232,79620.841907473499305,-122.301123,49.324771
869,LAKE,869,4,,{D46C1FF9-526A-4BA1-A009-5F9A80E3A8CC},15694843.500000000000000,39850.316428794300009,-122.415864,49.333678
909,LAKE,909,4,,{5FF3D7C1-DCBC-4F62-B41A-1B7060A94D1C},496194.000000000000000,5329.037182808179750,-122.589134,49.309490
928,LAKE,928,4,,{41AD7E96-2FE5-46D9-B2BE-B0F4BB7E7D37},390258.500000000000000,3283.025762733489955,-122.311223,49.260999
1044,LAKE,1044,4,,{02AEC668-575D-427E-86E9-228E3343400B},485037.500000000000000,5952.753836634529762,-123.041400,49.594900
1094,LAKE,1094,4,,{52780BD4-A148-4B0E-864D-119C7FE62E7D},387814.000000000000000,3342.604916140910063,-122.853051,49.540278
1095,LAKE,1095,4,,{AC954155-4BE9-4866-AF28-4BD06026676F},1890365.194499999983236,7502.043885575269996,-122.604810,49.529235
1104,LAKE,1104,4,,{8C6FC797-2CCF-437C-B3CB-770F85596BA1},330913.500000000000000,3109.002838160030024,-122.684881,49.518384
1118,LAKE,1118,4,,{97FD659D-E791-4D09-932C-9AD7C49B5419},438043.000000000000000,2974.775381820899838,-122.490825,49.403338
1151,LAKE,1151,4,,{0D474048-9322-4B7E-894F-6E334A98C444},787034.000000000000000,3965.000658976980048,-122.326111,49.320618
1393,LAKE,1393,4,,{12CE01C2-5861-4B1E-8E40-16FAB9BC756A},770461.687500000000000,4478.605263642009959,-122.004419,49.040963
1464,LAKE,1464,4,,{30F1446F-A066-431B-B141-4146E2704D2D},11986860.000000000000000,37480.670871984897531,-122.781749,49.406542
1487,LAKE,1487,4,,{01FAAFEF-5810-4951-B9DF-7BA3D8A6627B},2845740.500000000000000,19414.170104256299965,-122.240102,49.168375
1564,LAKE,1564,4,,{779824E7-A807-4D7D-9F24-1716EE9A24B5},867460.000000000000000,4579.513682005150258,-122.820167,49.669027
1572,LAKE,1572,4,Buntzen Lake,{4EE9F951-EC5D-467A-B579-945B1EC11CBA},1726004.000000000000000,13462.907107520399222,-122.859052,49.352148
1571,LAKE,1571,4,Capilano Lake,{F6B699F6-5EFF-4F57-A889-2F73782BD13D},2479551.762212479952723,11815.450583034700685,-123.121588,49.376592
197,LAKE,197,4,Sasamat Lake,{A7086F2F-ADCA-4CFE-A560-53F22ECCD564},470177.638169953017496,3375.724020664719774,-122.889323,49.320964
